Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_14259_i714_i511	4	29.73774136
SLX_14251_i705_i504	4	29.7646755
SLX_14253_i702_i503	4	30.10173003
SLX_17312_i720_i518	2	30.45849512
SLX_17313_i719_i518	2	31.17474744
SLX_14252_i706_i508	6	31.18443154
SLX_14259_i716_i517	5	31.19572029
SLX_14259_i729_i517	4	31.21634916
SLX_17312_i711_i510	6	31.22594756
SLX_14255_i703_i507	4	31.90018519
SLX_17311_i702_i508	2	31.90800919
SLX_14253_i704_i505	6	31.92865749
SLX_14259_i720_i518	6	32.65027175
SLX_14254_i710_i507	2	32.6600697
SLX_14259_i721_i521	2	32.82888905
SLX_17312_i721_i520	2	32.91983178
SLX_14253_i702_i506	4	33.32389487
SLX_14259_i727_i518	4	33.34419601
SLX_14259_i710_i502	5	33.36801877
SLX_14252_i708_i503	4	33.37830393
SLX_14253_i701_i504	4	33.40520497
SLX_14251_i704_i502	2	34.41450915
SLX_17311_i716_i520	2	34.46086509
SLX_14251_i708_i506	4	34.83781458
SLX_14259_i720_i522	5	34.89388222
SLX_14251_i706_i507	4	34.99047174
SLX_14251_i708_i505	4	35.29203109
SLX_14259_i714_i503	4	35.54931709
SLX_14259_i720_i516	6	35.55278997
SLX_14251_i707_i504	6	35.57231827
SLX_17311_i707_i505	6	35.58921121
SLX_14259_i726_i518	6	35.59039932
SLX_14253_i701_i506	4	36.32367814
SLX_14259_i724_i515	2	36.68410132
SLX_14259_i728_i513	2	36.76915324
SLX_14251_i705_i517	6	37.03714245
SLX_17311_i706_i511	2	37.49830483
SLX_12100_i709_i505	6	37.82399987
SLX_14252_i705_i502	4	37.83213823
SLX_14251_i706_i505	4	38.54100011
SLX_14252_i706_i506	4	38.55252878
SLX_14259_i712_i506	6	38.55494784
SLX_14251_i707_i517	4	39.31469375
SLX_12100_i705_i505	6	39.32187208
SLX_14251_i706_i517	4	40.047026
SLX_12100_i705_i507	6	40.04760222
SLX_14253_i704_i502	6	40.0513427
SLX_14259_i718_i521	6	40.06934325
SLX_14259_i718_i516	6	40.07183799
SLX_14251_i708_i517	4	40.09457648
SLX_14251_i708_i507	4	40.10797005
SLX_17312_i726_i517	6	40.77240988
SLX_14251_i708_i504	4	40.78698321
SLX_14259_i719_i520	4	41.53571144
SLX_14259_i715_i505	5	41.5479881
SLX_17311_i726_i520	6	41.55190352
SLX_14259_i716_i518	6	41.56704677
SLX_14252_i707_i503	4	41.57783227
SLX_14259_i710_i503	4	41.58407268
SLX_14259_i701_i510	6	42.31038175
SLX_14252_i705_i507	6	42.31144856
SLX_14259_i703_i511	5	42.33991931
SLX_14259_i721_i516	4	42.34355002
SLX_17311_i719_i513	6	43.09431809
SLX_17313_i710_i508	6	43.8667141
SLX_14259_i721_i518	6	43.97056329
SLX_17312_i722_i518	6	44.42310272
SLX_17311_i724_i520	2	44.63460446
SLX_14259_i718_i517	8	45.42518996
SLX_14259_i720_i513	6	46.16784547
SLX_17311_i724_i522	6	46.20758153
SLX_14259_i716_i515	6	46.31584372
SLX_14255_i710_i517	6	46.34536896
SLX_14259_i712_i510	6	46.38794317
SLX_14259_i707_i507	6	46.40446379
SLX_14253_i704_i504	4	46.48034617
SLX_14259_i723_i517	6	46.51177374
SLX_17312_i716_i522	6	46.55311782
SLX_14259_i707_i506	8	48.57421412
