GeneID,BC1,BC2,BC3,,,,,
AT1G03180,58.1 ,67.8 ,58.9 ,,,,,
AT1G03190,5.2 ,4.2 ,8.5 ,,,,,
AT1G03200,0.0 ,0.0 ,0.0 ,,,,,
AT1G03210,15.7 ,16.1 ,13.7 ,,,,,
AT1G03220,36.9 ,37.6 ,29.8 ,,,,,
AT1G03230,0.0 ,0.0 ,0.4 ,,,,,
AT1G03240,0.0 ,0.0 ,0.0 ,,,,,
AT1G03250,73.0 ,76.3 ,66.9 ,,,,,
AT1G03260,8.1 ,10.5 ,9.5 ,,,,,
AT1G03270,0.0 ,0.0 ,0.0 ,,,,,
AT1G03280,71.2 ,65.1 ,68.8 ,,,,,
AT1G03290,0.3 ,2.6 ,4.1 ,,,,,
AT1G03300,0.0 ,0.0 ,0.0 ,,,,,
AT1G03310,7.4 ,8.9 ,7.2 ,,,,,
AT1G03320,0.0 ,0.0 ,0.0 ,,,,,
AT1G03330,45.4 ,42.3 ,44.4 ,,,,,
AT1G03340,0.0 ,0.0 ,0.0 ,,,,,
AT1G03350,53.8 ,47.6 ,55.0 ,,,,,
AT1G03360,85.4 ,90.6 ,92.8 ,,,,,
AT1G03365,15.6 ,12.6 ,15.4 ,,,,,
AT1G03370,2.7 ,2.2 ,2.2 ,,,,,
AT1G03380,1.8 ,4.1 ,1.6 ,,,,,
AT1G03390,0.0 ,0.0 ,0.0 ,,,,,
AT1G03400,0.0 ,0.0 ,0.0 ,,,,,
AT1G03410,0.0 ,0.0 ,0.0 ,,,,,
AT1G03420,31.7 ,34.4 ,27.3 ,,,,,
AT1G03430,0.3 ,0.2 ,0.2 ,,,,,
AT1G03440,0.0 ,0.0 ,0.0 ,,,,,
AT1G03445,14.5 ,13.2 ,16.4 ,,,,,
AT1G03457,0.3 ,0.3 ,0.6 ,,,,,
AT1G03470,0.0 ,2.8 ,0.0 ,,,,,
AT1G03475,26.9 ,34.8 ,26.4 ,,,,,
AT1G03490,0.0 ,0.0 ,0.0 ,,,,,
